City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
512,vao,-22.6667,167.4833,297.74,67,60,6.35,NC,1676772433
513,anloga,5.7947,0.8973,299.37,73,55,2.51,GH,1676772433
514,jelgava,56.65,23.7128,275.17,77,23,5.84,LV,1676772434
515,wittmund,53.5667,7.7833,277.71,96,100,1.54,DE,1676772435
516,francisco beltrao,-26.0811,-53.055,287.76,35,12,3.22,BR,1676772436
517,vilcun,-38.65,-72.2333,283.56,80,56,0.55,CL,1676772436
518,port keats,-14.25,129.55,303.64,66,100,2.72,AU,1676772437
519,maniitsoq,65.4167,-52.9,269.41,95,100,3.14,GL,1676772438
520,beloha,-25.1667,45.05,297.01,86,74,0.37,MG,1676772439
521,gambissara,13.2382,-14.3108,297.4,49,87,2.67,SN,1676772439
522,praia da vitoria,38.7333,-27.0667,286.35,88,20,2.79,PT,1676772439
523,pangody,65.85,74.4859,252.47,99,47,3.49,RU,1676772440
524,klichka,50.4457,117.996,257.04,87,65,1.99,RU,1676772440
525,fukue,32.6881,128.8419,285.31,72,100,12.09,JP,1676772441
526,nueva loja,0.0847,-76.8828,297.0,82,100,1.35,EC,1676772441
527,jijiga,9.35,42.8,285.76,21,9,3.13,ET,1676772442
528,shamkhal,43.0596,47.3373,274.14,52,94,1.89,RU,1676772442
529,nanae,41.8833,140.6833,275.43,90,100,2.08,JP,1676772442
530,dunedin,-45.8742,170.5036,297.48,51,100,0.89,NZ,1676772371
531,leninskoye,41.7589,69.3864,274.66,62,26,2.15,KZ,1676772443
532,lavrentiya,65.5833,-171.0,249.33,90,97,2.89,RU,1676772444
533,makakilo city,21.3469,-158.0858,298.4,77,20,6.69,US,1676772444
534,chenghai,23.4632,116.768,294.83,60,50,1.53,CN,1676772445
535,dubti,11.7361,41.0853,293.75,33,2,1.66,ET,1676772445
536,laval,45.57,-73.692,273.3,79,75,7.2,CA,1676772446
537,aketi,2.7388,23.7833,293.23,43,100,0.91,CD,1676772447
538,katherine,-14.4667,132.2667,303.33,66,100,1.54,AU,1676772447
539,rock sound,24.9,-76.2,297.75,73,0,6.28,BS,1676772448
540,rong kwang,18.339,100.3174,299.71,37,0,1.28,TH,1676772450
541,jumla,29.2747,82.1838,282.18,47,89,1.54,NP,1676772451
542,inongo,-1.95,18.2667,296.74,57,100,1.95,CD,1676772452
543,lakhnadon,22.6,79.6,290.25,41,0,1.28,IN,1676772453
544,margate,51.3813,1.3862,283.08,77,68,1.79,GB,1676772203
545,codajas,-3.8367,-62.0569,296.35,97,100,0.8,BR,1676772454
546,yecla,38.6137,-1.1147,276.92,68,3,0.78,ES,1676772455
547,puteyets,65.1716,57.091,249.45,100,83,1.72,RU,1676772455
548,port shepstone,-30.7414,30.455,294.95,84,59,2.93,ZA,1676772455
549,kidal,18.4411,1.4078,291.1,16,0,5.16,ML,1676772456
550,vershino-darasunskiy,52.35,115.5167,256.73,66,13,3.01,RU,1676772457
551,dyersburg,36.0345,-89.3856,282.23,43,0,0.0,US,1676772457
552,atikokan,48.7555,-91.6216,270.74,91,100,2.98,CA,1676772458
553,riyadh,24.6877,46.7219,282.23,26,51,3.4,SA,1676772460
